song_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Shape of You,Ed Sheeran,Pop,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977
Blinding Lights,The Weeknd,Synthpop,0.514,0.73,-5.934,0.0598,0.00146,9.5e-05,0.0897,0.334,171.005
Bohemian Rhapsody,Queen,Classic Rock,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105
Billie Jean,Michael Jackson,Pop / Funk,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0402,0.847,117.046
Rolling in the Deep,Adele,Soul / Pop,0.729,0.756,-5.119,0.0294,0.131,0.0,0.0527,0.522,104.945
Gia Pia Ellada,Afroditi Manou,14 Megala Tragoudia - Afroditi Manou,0.576,0.315,-9.918,0.0363,0.691,9.41e-06,0.13,0.308,118.93
Nychterini Ekpompi,Afroditi Manou,Nychterini Ekpompi,0.766,0.844,-9.164,0.0276,0.037,0.0119,0.273,0.968,132.134
San Ti Mousiki,Afroditi Manou,Nychterini Ekpompi,0.474,0.516,-8.839,0.0287,0.534,4.56e-06,0.123,0.28,64.272
Skini Zilotypias,Afroditi Manou,Nychterini Ekpompi,0.799,0.707,-9.558,0.0321,0.387,0.0,0.0492,0.769,126.919
S.A.S. - Skotadi pano ap' tin Athina,Afroditi Manou,Nychterini Ekpompi,0.776,0.682,-8.294,0.0301,0.245,0.0,0.101,0.912,127.357
Gkazi - Tavros,Afroditi Manou,Nychterini Ekpompi,0.587,0.532,-9.55,0.0241,0.49,1.76e-06,0.108,0.55,96.56
O Alafroiskiotos,Afroditi Manou,Nychterini Ekpompi,0.482,0.453,-9.783,0.0294,0.474,0.0,0.163,0.318,105.91
Aspromavri Zoi,Afroditi Manou,Nychterini Ekpompi,0.738,0.646,-8.995,0.0807,0.298,7.14e-06,0.0757,0.945,112.121
Ston Kathrefti,Afroditi Manou,Nychterini Ekpompi,0.643,0.67,-8.805,0.0248,0.357,0.000729,0.13,0.912,140.434
